f1,f2,f3,f4,label
-0.144090,-0.172904,-0.111316,0.701984,0
-1.497353,0.332318,-0.267337,-0.216959,0
0.232298,1.163559,0.656637,0.110507,1
-1.014662,0.246342,1.311081,0.041657,0
0.531776,-1.453545,-0.312277,0.490363,0
-0.240630,0.376600,0.248213,0.782327,0
0.568251,-1.514520,-2.619945,-0.606891,1
0.876012,0.664266,-1.219075,0.847361,1
-0.086244,-0.293900,0.114420,0.818636,0
0.349885,0.649948,0.478492,-0.626985,1
-0.469968,0.499326,-0.250116,2.335754,0
-1.098875,0.768474,1.421850,0.505693,0
1.426345,-0.094027,-1.422959,-0.532077,1
-1.443678,0.033531,0.253237,-0.315592,0
0.580780,2.321409,0.619968,-0.609403,1
-0.831581,0.952274,-0.566833,-0.070261,1
-0.723463,-0.293658,-1.841286,-1.082479,1
0.415761,1.193493,-0.018467,0.261364,1
1.084741,0.893355,0.273693,-1.010944,1
0.381047,1.226942,-0.029907,1.953101,0
1.593060,0.115119,-0.516269,-1.128448,1
1.423321,0.816374,0.688884,-2.375873,1
0.555852,-0.549926,-0.627384,-0.002310,1
-1.055101,-0.427805,1.361785,-0.446151,0
0.097776,-1.241289,0.219945,-1.209618,1
0.003181,2.283431,0.280841,1.365689,0
-0.122139,0.323146,1.745721,-1.680916,1
0.591354,1.533546,0.712386,0.052071,1
-1.248180,0.195423,-0.191697,2.020267,0
0.320392,-1.569001,-0.395463,0.261148,0
1.448102,-0.044148,-1.117245,0.457850,1
0.491658,-0.700288,1.133384,0.087896,0
1.274073,0.609272,0.286516,2.152795,0
-0.295964,0.111967,1.482769,0.118712,0
1.195731,-0.512859,-1.726570,0.299423,1
-0.608010,0.871086,0.607567,-0.994992,1
-0.196105,-1.483025,0.452950,-0.045215,0
0.522946,0.488093,-0.577537,0.400352,1
-0.712667,0.380890,0.002756,2.266010,0
0.695284,-0.306245,-0.100198,1.901589,0
2.240944,-0.442148,0.350512,-0.490848,1
0.062483,-0.282572,0.202492,-2.105028,1
-0.166997,1.742906,-1.007112,0.292536,1
-0.869729,-1.495300,-0.546510,0.472488,0
1.290367,-0.257012,-1.602251,-0.435030,1
0.465663,-1.956939,-0.035052,1.398168,0
0.561687,0.309302,-1.240206,-0.843243,1
0.503198,0.580184,-0.478209,-1.151942,1
-1.156974,0.643409,-2.312281,-0.333278,1
1.522013,0.071300,1.001284,-0.399004,1
-0.674393,1.527336,0.994221,0.487398,1
-0.032341,0.620350,0.307592,-0.221886,1
1.506605,-1.399480,-0.399846,0.428337,1
-1.348447,-2.255562,-1.906367,-0.071111,0
0.345219,-0.769675,-1.224238,-2.023045,1
0.370054,0.992994,0.790796,-0.190716,1
-0.136367,-0.660836,-0.520578,-0.584812,0
0.156326,0.249886,-0.362266,-0.713841,1
1.716871,0.038255,-0.507634,-0.591447,1
-1.264766,-0.125261,0.061182,1.844679,0
1.034029,-0.712949,0.669922,-1.139382,1
0.418737,-0.766409,1.999380,0.567374,0
0.552860,-0.407412,0.001376,0.465765,0
-2.039151,-1.158320,0.772624,1.301204,0
1.803168,-2.055537,0.769482,-1.916290,1
0.253349,-1.141169,2.009901,0.643971,0
0.293468,-0.731140,0.111295,-0.465195,1
-1.423286,0.317405,1.814188,-0.826960,0
0.202002,-0.689702,0.647894,0.097050,0
1.762016,0.791615,-0.167107,-0.636675,1
1.230941,-0.146478,0.459438,-0.184457,1
-0.115979,0.763854,-0.183211,0.829587,1
-0.116610,-0.859777,-0.940120,-0.740737,1
0.865796,-0.046602,1.570101,2.279330,0
-1.548017,-0.381454,-0.075348,-1.488442,0
0.286946,-0.459428,-0.768426,-0.758757,1
-0.159646,-0.829930,-0.372898,0.954344,0
0.481847,0.727885,0.749118,1.399695,0
1.132733,-0.792854,-0.396540,1.196087,0
0.002098,-1.191414,0.561660,-0.630373,0
-0.648134,0.246494,-2.121032,0.360763,1
-0.584526,1.036927,0.611440,-0.606284,1
0.695151,-1.516074,-0.332622,-0.631047,1
0.211127,0.036788,1.134848,0.228063,0
-1.210855,0.721850,0.528147,1.450810,0
0.026418,-0.058693,-0.087611,0.010390,0
0.824986,0.653206,1.130473,2.249574,0
-0.036143,0.009784,1.942185,-1.731220,1
-1.470831,-2.581571,-2.020833,-1.381769,0
-0.868360,-0.227458,-1.163513,0.610950,0
1.317652,-0.993105,-0.764827,0.122741,1
1.424690,0.120407,-1.207834,-0.560335,1
0.725042,0.383793,-0.119391,0.869607,1
-0.136234,0.180760,1.528181,-0.098533,0
-1.045837,0.686052,-0.587645,0.343685,0
1.043187,-1.331938,-0.777342,1.058581,0
-0.079455,0.074256,-0.998557,1.342933,1
-1.971618,-1.448990,0.808232,-1.303024,0
0.129552,0.691850,-0.223253,0.095221,1
1.292362,-0.495314,0.339733,-0.511638,1
-0.168163,-0.162464,-1.013781,0.796413,1
0.243148,0.732335,0.838068,0.927986,0
0.212257,0.864007,0.068832,-0.973918,1
-1.888415,-0.005900,0.413372,1.235981,0
0.928140,-0.000538,-1.023476,-1.411380,1
-1.366148,0.633708,-0.207615,0.570315,0
1.044050,1.060193,-0.645338,-0.274316,1
-1.621312,0.675217,1.188795,-0.006428,0
1.090905,-2.344962,0.177475,0.143284,0
1.391575,0.970735,-0.261157,-0.086696,1
-0.512120,-1.308200,1.379948,1.028000,0
-1.094336,2.080845,1.980165,0.188057,0
-0.866430,0.418549,-0.913014,-0.034211,1
-1.506824,2.005729,1.566708,-1.237086,0
-0.283422,-1.031143,-0.263721,-2.581186,1
1.802856,-1.116595,-0.273069,-1.489609,1
-0.225319,1.940733,0.206839,-0.372180,1
-0.506228,-1.339308,0.301948,-0.174869,0
0.375457,-0.510320,0.421576,1.737697,0
1.737426,-0.242803,-0.766627,2.427221,0
1.370403,0.817594,-1.680595,0.120820,1
-1.341793,-1.771711,0.102290,0.590253,0
-0.305829,-0.798517,-0.986861,-0.555161,0
-0.203275,-0.022887,-0.895988,-0.232050,1
-0.004472,0.507088,0.178125,0.472151,0
-0.378696,0.276739,0.641162,-1.598003,1
1.206421,-0.178611,-0.094758,0.450457,1
0.674637,0.072414,0.152496,-0.782444,1
1.253122,-0.204170,-0.168564,-0.491503,1
-0.854679,0.910502,-0.936973,-1.057781,1
0.130179,0.297557,1.062537,-0.412496,0
-0.909817,1.259169,0.632459,0.536519,0
-0.785599,-0.327372,0.501779,-0.019184,0
-1.359820,0.181094,-0.691927,-1.083337,1
-1.856504,0.698570,0.852013,-0.053436,0
-0.945369,-0.151123,-2.423734,0.180477,1
-0.311895,-0.494402,0.181967,0.350644,0
0.018397,-0.689758,-0.461265,0.181946,1
-0.320273,-1.052527,-0.870107,-2.096335,1
-1.361324,-1.233510,-1.976015,-1.117988,1
-1.311354,-1.749642,0.178263,-0.341171,0
0.740560,-0.008499,-1.297761,-0.123800,1
-0.582989,-1.437461,1.102612,-0.415248,0
0.015962,1.030472,0.263620,-0.333226,1
2.147024,1.387786,0.672871,-1.122280,1
-1.198657,-0.371803,-0.699889,1.626892,0
-1.427125,0.267587,0.546906,-0.318483,0
-0.725033,-0.436849,0.022732,-0.519910,0
-0.949947,-1.731387,-0.739393,1.348891,0
2.340809,0.491484,-1.164426,-0.834286,1
-1.177644,2.374579,-0.990891,0.680943,1
-0.109200,-0.995861,-0.273066,0.362216,0
0.056717,-1.400222,0.042324,-0.673358,0
-0.697560,-1.432451,0.586854,1.944165,0
-0.573209,-0.467394,0.688782,1.061286,0
-0.142636,2.206929,-0.107452,-0.485321,1
0.579702,-1.021642,-0.248403,-1.166361,1
1.876925,0.741722,-0.092543,-0.933112,1
1.050733,-0.561687,1.450421,-1.373636,1
1.742764,-2.007839,1.188413,-1.851377,1
-0.172535,0.824293,-3.154543,-1.917810,1
0.036895,-0.893217,-0.220867,-1.186173,1
-0.846766,0.244021,0.581420,1.432930,0
-0.317992,0.047745,-0.294919,-0.051991,0
0.371755,-0.915192,-0.956962,-1.588126,1
-0.140609,1.149492,0.272302,-1.703361,1
0.757932,-0.765683,-1.090344,-0.179379,1
-1.011867,-0.326145,-0.478493,-2.589990,1
-0.811375,1.304439,-1.150124,-1.579598,1
-1.585055,-0.636174,0.597337,-0.329646,0
0.188035,-0.194323,1.283855,0.588648,0
-1.645894,-0.021675,-1.066654,1.154751,0
0.754038,-0.777332,-0.745152,-2.029680,1
0.508219,-0.260860,0.933515,0.750916,0
-1.623537,-0.713836,0.195442,0.355421,0
-1.008636,0.127209,2.205354,0.691922,0
-0.019187,0.767627,1.803990,0.106642,0
-0.875139,0.590099,0.904217,-0.752003,1
-0.675247,-0.805239,-0.001192,1.931990,0
0.935785,-0.731798,0.077497,-1.176556,1
0.835641,-0.038397,1.451296,-0.202416,0
1.276682,-0.648617,-1.519765,1.301277,1
-2.165195,0.044529,-0.403787,1.744840,0
-0.580768,-0.910401,-1.054056,-0.700496,0
-1.031197,-1.606585,-1.497279,-1.559675,1
-0.683689,-1.226470,0.478271,-0.048076,0
-0.463973,1.592880,0.239814,0.475378,0
-0.653734,-2.171007,-0.426204,0.373310,0
0.518609,-1.022750,0.575803,-1.553609,1
0.419807,0.535921,-0.127263,1.939714,0
-0.450996,-2.759507,1.768934,-0.368998,0
1.320904,1.235506,0.108326,-1.434922,1
-0.621392,-1.170772,1.043372,-2.132592,0
0.459355,2.051011,0.325174,-2.058431,1
0.064667,0.355564,0.980816,-1.959676,1
0.969861,1.543970,1.861024,-0.390219,1
1.711712,1.198070,0.723685,0.827797,1
-1.447250,0.982848,-0.347067,-0.028134,0
-0.392907,0.232749,-1.021859,0.068500,1
-0.077355,-0.743630,0.786620,1.872637,0
1.234463,0.889264,-2.653252,-0.761194,1
0.781772,0.188488,0.474398,0.636279,0
-0.746550,-1.222889,-0.170271,-0.119103,0
-0.727308,0.906525,0.917111,1.546519,0
0.185511,0.672424,0.609752,-0.651815,1
1.718518,1.976953,0.035226,0.324270,1
-0.002546,0.619289,-0.121180,-0.193783,1
0.164715,0.067010,0.882019,0.150333,0
-0.063564,-1.220416,-0.030972,-1.136885,0
-1.181438,0.916709,0.749235,0.280428,0
0.416301,-1.964998,-1.096820,-0.148733,0
-0.079396,-1.004610,0.133446,-0.453700,0
0.329502,-0.209978,1.196483,0.665532,0
0.321667,-0.845178,-0.935627,-1.471158,1
-1.079445,-0.209832,-0.360389,-0.281098,0
